localizacao;descricao;dataDeAquisicao;departamento;observacoes
REA DO ANTIGO AEROPORTO;TERRENO MATRCULA 24575;05/01/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Uma faixa de terreno situado zona leste no bairro projetado e sem denominao rea do antigo aeroporto destinada ao logradouro pblico designado como rua SD n 1189 de formato regularcom rea de 208000 mq ............................................................... Demais confrontaes conforme Certido 25475
REA DO ANTIGO AEROPORTO;TERRENO MATRCULA 25471;05/01/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Um terreno situado zona leste no bairro projetado e sem denominao rea do antigo aeroporto nesta cidade localizado no quarteiro n1192............................................................................ Demais confrontaes conforme Certido.
REA DO ANTIGO AEROPORTO;TERRENO MATRCULA 25472;25/01/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Um terreno situado zona leste no bairro projetado e sem denominao rea do antigo aeroporto nesta cidade localizado no quarteiro n1188........................................................................... Demais confrontaes conforme Certido 25472
REA DO ANTIGO AEROPORTO;TERRENO MATRCULA 25473;05/01/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Um terreno situado zona leste bifurcao formada pelo largo do obelisco do Sequicentenrio da Revoluo Farroupilha interseco das Avenidas Tiaraj e Caver no Bairro Projetado e sem denominao rea do antigo aeroporto destinado ao espao pblico.......................................................................... Demais medidas e confrontaes conforme Certido n 25473.
REA DO ANTIGO AEROPORTO;TERRENO MATRCULA 25474;05/01/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Um terreno situado zona leste no bairro projetado e sem denominao rea do antigo aeroporto destinada ao logradouro pblico designado com a rua SD n 1188 de formato regular com rea de 451200mq. Demais confrontaes conforme Certido 25474
REA DO ANTIGO AEROPORTO;TERRENO MATRCULA 25476;05/01/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Uma faixa de terreno situado zona leste no bairro projetado e sem denominao rea do antigo aeroporto destinada ao logradouro pblico designado como rua SD n 1190 de formato regularcom rea de 208000 mq ............................................................... Demais confrontaes conforme Certido 25476
REA DO ANTIGO AEROPORTO;TERRENO MATRCULA 25477;05/01/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Uma faixa de terreno situado zona leste no bairro projetado e sem denominao rea do antigo aeroporto destinada ao logradouro pblico designado como rua SD n 1191 de formato regularcom rea de 289600 mq ............................................................... Demais confrontaes conforme Certido 25477
REA DO ANTIGO AEROPORTO;TERRENO MATRCULA 21.327;25/06/1999;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
REA DO ANTIGO AEROPORTO;TERRENO MATRCULA 21.328;25/06/1999;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
REA DO ANTIGO AEROPORTO;TERRENO MATRCULA 21.329;25/06/1999;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 21.330;25/06/1999;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 21.331;25/06/1999;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 23.338;05/09/2001;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 23.339;05/06/2001;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 23.340;05/09/2001;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 23.341;05/09/2001;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 24.356;27/02/2004;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 24.357;27/02/2004;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 24.358;27/02/2004;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 24.359;27/02/2004;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 24.401;27/02/2004;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;TERRENO MATRCULA 24.403;27/02/2004;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;
BAIRRO MEDIANEIRA;BAIRRO RENASCER MATRCULA 8870;11/04/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;uma frao de terras siituada na zona urbana desta cidade na Margem esquerda do Rio Ibirapuitcom rea de 172.10000mq partindo do ponto localizado a 7468 a sudoeste do ponto comum ao cruzamento da linha limite leste das terras dos Armazns Gerais S.A. e do alinhamento norte do prolongamento da Avenida Poo de Bombas conforme Escritura Pblica de Compra e Venda  N 20.760-037.
BAIRRO MEDIANEIRA;TERRENO MATRCULA 25817;16/11/2007;CADASTRO DE IMVEIS URBANOS-PATRIMNIO;Terreno urbano situado na Vila Capo do Angico localizado no quarteiro formado ao norte Av. Timbava ao sul com a Av. Tiaraj ao leste com rea verde da Prefeitura Municipal de Alegrete ao oeste com a rua Aucena situado ao lado par da numerao da Av. Timbava distante 90m00 da esquina com a Rua Aucena de formato irregulardesignado pelo n 11 com a rea superficial de 322.50m matrcula n25.817.
BAIRRO MEDIANEIRA;ESCOLA RURAL ABILIO PRATES(BARRAGEM);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
BAIRRO MEDIANEIRA;ESCOLA RURAL ANTENOR ALMEIDA(CAVER);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
BAIRRO PEDREIRAS;ESCOLA RURAL DELFINO BITENCOURT(CATIMBAU);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
BAIRRO RENASCER;ESCOLA RURAL JOS ALVES FILHO (PASSOS DOS BRITES);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
BAIRROS JOS DE ABREU;ECOLA RURAL JOO DORVAL DE ALMEIDA(DURASNAL PASSO DO FERMINO);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
CAPO DO ANGICO;ESCOLA DELFINO ANTUNES DA SILVA(DURASNAL) LAGEADO GRANDE);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
CATIMBAU-6 SUBDISTRITO;ESCOLA RURAL BRANDINARTE ANTUNES(PAROV);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
CATIMBAU-6 SUBDISTRITO;ESCOLA RURAL DARCIANO MACHADO(CONTRATO DE  COMODATO P/ASSOCIAO DE MORADORES DO DURASNAL);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
CATIMBAU-6 SUBDISTRITO;ESCOLA RURAL DAVID CANABARRO(QUERIMANA);11/11/1111;CADASTRO IMVEIS RURAIS;desativada
